Repositório,Idade (dias),PR's aceitas,Releases,Última atualização (dias),Linguagem principal,Issues,Issues fechadas
https://github.com/openai/openai-cookbook,908,572,0,1,MDX,443,93.00%
https://github.com/shadowsocks/shadowsocks-windows,4251,278,55,15,C#,2908,94.15%
https://github.com/FuelLabs/fuel-core,1469,1080,95,0,Rust,812,79.68%
https://github.com/bradtraversy/design-resources-for-developers,1582,910,0,5,N/A,93,100.00%
https://github.com/Eugeny/tabby,2812,1459,187,0,TypeScript,5094,61.88%
https://github.com/binhnguyennus/awesome-scalability,2443,34,0,3,N/A,0,0.00%
https://github.com/sindresorhus/awesome-nodejs,3708,410,0,27,N/A,102,98.04%
https://github.com/chrislgarry/Apollo-11,3807,327,0,55,Assembly,381,84.25%
https://github.com/sherlock-project/sherlock,2081,612,1,5,Python,967,91.11%
https://github.com/caddyserver/caddy,3522,1945,119,1,Go,3966,97.30%
https://github.com/danielmiessler/SecLists,4581,605,25,0,PHP,262,92.37%
https://github.com/h5bp/html5-boilerplate,5337,764,34,0,JavaScript,1348,99.55%
https://github.com/prakhar1989/awesome-courses,3581,194,0,489,N/A,77,50.65%
https://github.com/spring-projects/spring-framework,5019,840,310,0,Java,25770,98.97%
https://github.com/abi/screenshot-to-code,295,42,0,5,Python,287,82.93%
https://github.com/rails/rails,5990,23779,126,0,Ruby,17521,97.02%
https://github.com/alacritty/alacritty,3121,1790,93,4,Rust,5763,94.36%
https://github.com/meta-llama/llama,568,54,0,17,Python,954,65.51%
https://github.com/louislam/uptime-kuma,1159,1135,104,0,JavaScript,3504,82.82%
https://github.com/PKUFlyingPig/cs-self-learning,1050,250,4,3,HTML,179,50.28%
https://github.com/facebook/docusaurus,2633,5171,144,1,TypeScript,3080,91.30%
https://github.com/gatsbyjs/gatsby,3394,18099,134,3,JavaScript,14059,98.68%
https://github.com/prometheus/prometheus,4302,6407,310,0,Go,5709,88.44%
https://github.com/AppFlowy-IO/AppFlowy,1176,2897,82,0,Dart,2737,68.07%
https://github.com/azl397985856/leetcode,2350,257,40,23,JavaScript,254,97.24%
https://github.com/scutan90/DeepLearning-500-questions,2261,302,0,70,JavaScript,188,43.09%
https://github.com/Alvin9999/new-pac,3087,0,0,0,N/A,1612,75.74%
https://github.com/ElemeFE/element,2923,3231,145,15,Vue,17746,85.86%
https://github.com/nuxt/nuxt,2870,5292,225,0,TypeScript,15129,95.00%
https://github.com/nektos/act,2072,940,74,2,Go,1121,84.12%
https://github.com/localstack/localstack,2871,5227,78,0,Python,5561,94.57%
https://github.com/ryanoasis/nerd-fonts,3561,487,36,3,CSS,984,97.15%
https://github.com/zylon-ai/private-gpt,491,218,10,14,Python,1156,81.92%
https://github.com/labmlai/annotated_deep_learning_paper_implementations,1471,102,0,11,Python,131,79.39%
https://github.com/Solido/awesome-flutter,2677,441,0,36,Dart,0,0.00%
https://github.com/ageitgey/face_recognition,2742,94,2,14,Python,1337,43.90%
https://github.com/remix-run/react-router,3764,2327,277,0,TypeScript,7446,98.94%
https://github.com/rust-lang/rustlings,3277,892,44,0,Rust,652,97.24%
https://github.com/necolas/normalize.css,4872,56,0,84,CSS,507,90.93%
https://github.com/scrapy/scrapy,5308,2171,38,7,Python,3009,85.11%
https://github.com/lencx/ChatGPT,637,123,34,6,Rust,1037,32.79%
https://github.com/PlexPt/awesome-chatgpt-prompts-zh,632,33,0,36,N/A,93,59.14%
https://github.com/CorentinJ/Real-Time-Voice-Cloning,1928,48,0,21,Python,1078,82.37%
https://github.com/psf/requests,4952,1554,12,2,Python,3962,95.53%
https://github.com/OpenInterpreter/open-interpreter,418,340,42,1,Python,919,80.74%
https://github.com/gpt-engineer-org/gpt-engineer,494,342,20,25,Python,474,98.10%
https://github.com/git/git,5887,3,0,1,C,0,0.00%
https://github.com/Semantic-Org/Semantic-UI,4167,356,154,79,JavaScript,6226,84.53%
https://github.com/ionic-team/ionic-framework,4033,5884,878,0,TypeScript,21743,98.05%
https://github.com/deepfakes/faceswap,2451,357,4,18,Python,857,97.67%
https://github.com/google/material-design-icons,3619,47,16,12,N/A,1430,77.83%
https://github.com/NationalSecurityAgency/ghidra,2014,448,38,0,Java,4789,71.50%
https://github.com/tldr-pages/tldr,3923,10972,5,0,Markdown,1315,86.69%
https://github.com/youngyangyang04/leetcode-master,1726,2170,0,0,Shell,233,26.18%
https://github.com/wasabeef/awesome-android-ui,3542,90,0,60,N/A,105,87.62%
https://github.com/jesseduffield/lazygit,2300,1377,152,1,Go,1904,65.60%
https://github.com/google/guava,3751,644,46,2,Java,3573,82.09%
https://github.com/traefik/traefik,3279,4247,428,0,Go,5972,89.57%
https://github.com/soimort/you-get,4398,580,122,16,Python,0,0.00%
https://github.com/juliangarnier/anime,3097,72,15,101,JavaScript,716,70.95%
https://github.com/ultralytics/yolov5,1570,2138,10,0,Python,9225,99.00%
https://github.com/comfyanonymous/ComfyUI,596,474,15,0,Python,3033,44.97%
https://github.com/jgraph/drawio-desktop,2659,20,142,5,JavaScript,1454,92.37%
https://github.com/xai-org/grok-1,171,5,0,5,Python,208,65.87%
https://github.com/commaai/openpilot,2841,10120,55,0,Python,2729,95.35%
https://github.com/jgthms/bulma,3147,630,20,19,CSS,2639,89.35%
https://github.com/prettier/prettier,2836,8169,117,1,JavaScript,6623,82.98%
https://github.com/jekyll/jekyll,5798,3136,109,6,Ruby,4826,97.74%
https://github.com/Textualize/rich,1760,785,162,9,Python,1298,87.83%
https://github.com/JetBrains/kotlin,4587,2059,235,0,Kotlin,0,0.00%
https://github.com/sharkdp/bat,2328,1315,40,3,Rust,1402,79.74%
https://github.com/pi-hole/pi-hole,3741,1892,106,1,Shell,2835,98.91%
https://github.com/FiloSottile/mkcert,2263,53,14,22,Go,338,70.71%
https://github.com/Z4nzu/hackingtool,1607,55,0,35,Python,355,83.66%
https://github.com/golang-standards/project-layout,2552,85,0,59,Makefile,109,40.37%
https://github.com/DefinitelyTyped/DefinitelyTyped,4352,49916,1,0,TypeScript,8038,93.15%
https://github.com/moment/moment,4936,714,0,21,JavaScript,4121,94.64%
https://github.com/ReactiveX/RxJava,4257,3245,234,2,Java,3157,99.68%
https://github.com/mozilla/pdf.js,4880,7402,65,0,JavaScript,9801,96.09%
https://github.com/chinese-poetry/chinese-poetry,2924,135,1,25,JavaScript,203,45.32%
https://github.com/NARKOZ/hacker-scripts,3210,63,0,317,JavaScript,83,59.04%
https://github.com/dair-ai/Prompt-Engineering-Guide,628,301,0,13,MDX,170,38.24%
https://github.com/BurntSushi/ripgrep,3099,507,71,1,Rust,1610,93.73%
https://github.com/tiimgreen/github-cheat-sheet,3798,129,0,142,N/A,69,68.12%
https://github.com/etcd-io/etcd,4078,8765,237,0,Go,6660,95.87%
https://github.com/ethereum/go-ethereum,3905,7451,199,0,Go,8075,97.16%
https://github.com/topjohnwu/Magisk,2918,1465,135,0,C++,5766,99.62%
https://github.com/vsouza/awesome-ios,3709,2223,0,23,Swift,477,100.00%
https://github.com/TryGhost/Ghost,4141,11238,801,0,JavaScript,6891,99.62%
https://github.com/nocodb/nocodb,2502,3747,148,0,TypeScript,3425,82.57%
https://github.com/mastodon/mastodon,3117,15328,250,0,Ruby,11209,65.73%
https://github.com/cypress-io/cypress,3472,6238,347,0,JavaScript,14366,90.30%
https://github.com/iamkun/dayjs,2339,696,119,15,JavaScript,1639,50.27%
https://github.com/algorithm-visualizer/algorithm-visualizer,3034,183,0,87,JavaScript,112,66.96%
https://github.com/vuejs/core,2276,2736,226,0,TypeScript,5168,87.60%
https://github.com/minio/minio,3521,9596,496,1,Go,7400,99.74%
https://github.com/facebookresearch/segment-anything,531,16,0,1,Jupyter Notebook,659,25.34%
https://github.com/zed-industries/zed,1292,7424,575,0,Rust,7835,64.17%
https://github.com/serverless/serverless,3424,4665,400,0,JavaScript,6300,82.02%
https://github.com/meilisearch/meilisearch,2326,1740,209,0,Rust,1947,91.94%
https://github.com/marktext/marktext,2488,939,36,17,JavaScript,2772,58.55%
https://github.com/ngosang/trackerslist,3055,1,0,1,N/A,441,97.28%
https://github.com/charlax/professional-programming,3224,36,0,1,Python,28,85.71%
https://github.com/minimaxir/big-list-of-naughty-strings,3315,90,0,139,Python,99,32.32%
https://github.com/pmndrs/zustand,1975,649,86,2,TypeScript,668,99.55%
https://github.com/rclone/rclone,3825,1899,103,0,Go,5421,82.84%
https://github.com/gorhill/uBlock,3444,240,269,1,JavaScript,3445,99.65%
https://github.com/square/okhttp,4426,3443,0,2,Kotlin,4055,96.62%
https://github.com/rust-unofficial/awesome-rust,3702,1396,0,0,Rust,134,91.79%
https://github.com/ziishaned/learn-regex,2601,124,0,194,N/A,86,40.70%
https://github.com/JuliaLang/julia,4885,23986,163,0,Julia,25160,83.85%
https://github.com/romkatv/powerlevel10k,2019,158,33,14,Shell,2475,97.82%
https://github.com/justjavac/awesome-wechat-weapp,2904,275,0,219,N/A,0,0.00%
https://github.com/wagoodman/dive,2306,141,26,51,Go,331,49.85%
https://github.com/withastro/astro,1269,6218,1000,0,TypeScript,4555,97.28%
https://github.com/v2ray/v2ray-core,3288,203,247,55,Go,2572,99.53%
https://github.com/laurent22/joplin,2788,3385,349,0,TypeScript,6482,93.88%
https://github.com/karan/Projects,4080,19,0,21,N/A,72,45.83%
https://github.com/n8n-io/n8n,1901,7097,211,0,TypeScript,1729,87.91%
https://github.com/typescript-cheatsheets/react,2286,359,0,37,JavaScript,204,98.53%
https://github.com/agalwood/Motrix,2087,181,21,55,JavaScript,1294,44.59%
https://github.com/ruanyf/weekly,2153,88,0,5,N/A,4901,17.04%
https://github.com/gogs/gogs,3857,1696,78,0,Go,5090,82.44%
https://github.com/sickcodes/Docker-OSX,1553,104,0,1,Shell,615,43.09%
https://github.com/FFmpeg/FFmpeg,4892,16,0,0,C,0,0.00%
https://github.com/kamranahmedse/design-patterns-for-humans,2757,49,0,84,N/A,51,92.16%
https://github.com/PowerShell/PowerShell,3157,6964,173,1,C#,12343,92.93%
https://github.com/Avik-Jain/100-Days-Of-ML-Code,2253,6,0,250,N/A,0,0.00%
https://github.com/poteto/hiring-without-whiteboards,2730,1275,0,8,JavaScript,0,0.00%
https://github.com/firstcontributions/first-contributions,2906,73641,0,0,N/A,775,93.16%
https://github.com/android/architecture-samples,3134,224,0,0,Kotlin,480,71.46%
https://github.com/meteor/meteor,4612,2247,0,0,JavaScript,9076,97.30%
https://github.com/FuelLabs/fuels-rs,1039,796,100,0,Rust,601,86.69%
https://github.com/FuelLabs/fuels-ts,1097,1551,129,0,TypeScript,1195,89.29%
https://github.com/x64dbg/x64dbg,3434,689,2,5,C++,2472,76.09%
https://github.com/langgenius/dify,511,3213,89,0,TypeScript,3507,93.38%
https://github.com/starship/starship,1982,2681,130,0,Rust,2242,73.64%
https://github.com/jestjs/jest,3921,5548,202,1,TypeScript,7878,96.33%
https://github.com/go-gitea/gitea,2864,16109,194,0,Go,13459,81.62%
https://github.com/ColorlibHQ/AdminLTE,3906,1520,74,2,Astro,2839,95.91%
https://github.com/appwrite/appwrite,1976,2989,100,0,TypeScript,3601,83.25%
https://github.com/pixijs/pixijs,4244,3432,265,0,TypeScript,5669,94.13%
https://github.com/geekan/MetaGPT,432,592,21,14,Python,623,51.52%
https://github.com/immich-app/immich,944,4477,202,0,TypeScript,3585,88.09%
https://github.com/parcel-bundler/parcel,2585,2550,35,1,JavaScript,5342,88.97%
https://github.com/aymericdamien/TensorFlow-Examples,3220,88,0,40,Jupyter Notebook,233,29.61%
https://github.com/astaxie/build-web-application-with-golang,4416,757,0,115,Go,303,60.07%
https://github.com/vercel/hyper,2987,3291,88,21,TypeScript,3766,75.97%
https://github.com/pandas-dev/pandas,5125,25848,108,1,Python,26771,86.86%
https://github.com/babel/babel,3629,5866,409,0,TypeScript,8837,92.81%
https://github.com/slab/quill,4419,376,94,8,TypeScript,3580,90.53%
https://github.com/square/retrofit,5112,995,2,5,HTML,2715,95.47%
https://github.com/google/zx,1218,223,67,7,JavaScript,408,97.55%
https://github.com/huginn/huginn,4196,1011,1,1,Ruby,2134,72.35%
https://github.com/jakevdp/PythonDataScienceHandbook,2947,28,0,70,Jupyter Notebook,192,39.58%
https://github.com/WerWolv/ImHex,1394,512,71,12,C++,1147,82.56%
https://github.com/Asabeneh/30-Days-Of-JavaScript,1717,98,0,16,JavaScript,157,37.58%
https://github.com/isocpp/CppCoreGuidelines,3304,804,4,64,CSS,1167,79.26%
https://github.com/type-challenges/type-challenges,1504,557,0,12,TypeScript,33774,10.62%
https://github.com/PaddlePaddle/PaddleOCR,1580,2445,14,2,Python,9235,98.66%
https://github.com/dypsilon/frontend-dev-bookmarks,4092,129,1,106,N/A,105,78.10%
